14	16	12	31	7	19	25	11	19	26	27	39	2	18	24	12	26	30	27	28	4	22	23	13	18	26	29	34	3	18	26	13	1	1	1
25	29	43	46	11	19	37	14	45	38	53	54	16	26	39	13	47	35	59	51	17	22	43	15	42	40	53	47	15	23	38	14	1	0	1
11	13	8	22	3	19	24	11	28	27	31	38	7	17	25	13	34	25	34	43	8	18	26	12	27	35	34	40	10	15	29	14	1	1	1
8	18	13	33	4	18	24	12	25	25	25	31	4	17	29	12	22	23	28	39	4	19	27	13	25	25	20	31	7	19	23	11	1	1	1
17	26	21	37	8	22	25	0	30	32	34	40	5	22	30	10	33	34	33	43	7	20	28	8	27	32	36	39	8	17	34	9	1	0	1
7	21	19	29	8	15	27	13	16	22	17	32	7	14	30	14	17	26	18	36	4	14	34	13	18	27	13	37	7	16	30	13	1	1	1
24	14	23	34	4	21	30	1	99	28	41	37	6	20	34	14	38	26	44	36	7	24	37	14	99	27	46	40	9	22	31	14	1	1	1
20	19	29	34	5	19	35	11	37	35	47	52	12	26	38	11	38	40	54	46	6	27	43	11	30	35	46	49	8	25	47	10	1	1	1
27	29	36	41	15	22	29	13	45	35	45	46	9	23	32	16	99	36	42	54	14	24	33	14	43	38	44	50	15	22	37	14	1	1	1
29	31	39	46	9	23	24	15	49	35	49	49	17	28	24	15	60	39	58	49	16	29	29	14	52	34	49	48	16	28	30	16	1	1	1
18	23	21	30	3	19	35	14	35	27	40	47	7	22	38	12	39	26	35	46	5	22	36	11	37	26	37	41	6	17	38	12	1	1	1
24	22	27	38	3	23	33	12	37	30	38	36	4	25	28	14	40	32	44	44	5	24	35	11	41	28	40	37	8	28	28	15	1	1	1
14	11	9	20	3	21	16	10	15	12	11	33	3	18	24	11	11	15	12	29	4	20	21	13	15	13	11	22	3	24	24	10	1	1	1
12	18	22	31	8	19	26	13	26	29	30	39	3	20	26	13	25	34	36	41	9	20	24	14	28	31	29	43	9	22	27	12	1	1	1
