test_1  test_2  test_3  test_4  gender
52	48	33	47	1
19	26	30	18	1
45	47	35	42	1
28	34	25	27	1
25	22	23	25	1
99	99	99	99	1
39	42	36	39	0
37	44	29	43	0
41	45	34	41	0
18	16	34	19	0
30	33	34	27	1
34	37	26	41	0
16	17	26	18	1
28	38	26	33	1
24	30	24	22	0
8	13	15	99	0
27	31	30	99	1
37	38	40	30	1
43	44	32	49	0
34	42	34	40	0
45	46	36	43	1
49	60	39	52	1
14	9	24	99	0
32	31	28	34	0
99	42	31	36	1
16	25	27	17	0
35	39	26	37	1
24	99	99	99	1
15	23	30	22	0
17	19	27	17	0
37	40	32	41	1
11	10	19	99	1
15	11	15	15	1
99	99	99	45	0
26	25	34	28	1
62	63	41	64	1
48	44	31	48	0
17	18	16	14	1
99	24	20	17	1
29	37	29	99	1
17	24	32	18	1
36	29	30	31	1
22	19	19	21	0
18	24	19	28	0
27	14	28	15	0
23	29	27	28	0
26	26	26	99	1
43	46	37	41	1
30	38	35	35	1
9	12	15	7	1
26	30	20	16	1
28	29	29	35	1
13	14	19	15	1
22	11	17	14	1
18	27	31	99	0
45	38	34	39	1
43	44	35	40	1
29	47	32	33	1
99	99	99	99	1
13	15	23	21	0
24	20	22	22	1
37	47	33	44	1
21	99	99	21	1
26	32	33	99	0
21	27	25	21	1
20	24	22	26	0
27	37	22	27	1
99	44	37	41	1
99	99	99	99	0
42	46	31	99	0
7	0	20	4	1
50	47	40	48	1
20	23	30	20	0
99	99	99	13	0
17	16	30	99	0
34	30	28	26	1
36	34	34	35	0
45	44	34	43	1
44	41	32	43	1
18	12	26	16	0
31	30	28	34	0
48	48	36	42	1
38	41	36	99	1
24	28	25	24	0
7	14	24	11	0
99	99	99	99	1
38	99	99	99	1
9	12	25	11	1
37	43	32	46	1
32	36	31	37	1
37	32	29	33	1
34	44	25	40	1
21	26	25	22	0
45	41	40	39	1
51	44	32	48	1
34	33	28	99	1
51	49	35	55	0
29	38	31	32	0
99	99	99	99	0
13	13	24	17	1
18	31	23	27	1
99	99	99	99	0
31	30	30	30	0
37	37	34	36	0
33	35	32	41	0
31	34	34	24	1
47	54	39	51	1
27	30	27	25	1
9	14	27	12	1
35	36	34	35	1
47	44	33	43	1
24	26	28	28	1
33	33	29	38	1
50	56	33	47	1
16	22	32	17	0
35	35	31	36	0
25	31	32	31	1
38	46	33	48	1
99	99	99	99	1
59	65	42	62	1
35	31	33	31	1
18	22	28	21	0
21	22	30	18	1
99	99	99	99	1
34	99	99	99	1
44	51	32	47	1
99	99	99	99	0
49	55	33	45	1
40	42	30	33	1
15	20	23	16	1
38	34	23	99	0
29	32	33	34	0
19	19	15	12	1
99	99	99	99	0
24	29	29	23	0
21	27	33	34	1
45	46	39	49	1
17	20	29	19	0
32	33	27	28	0
51	50	36	49	1
19	18	18	23	0
45	39	37	43	1
52	99	99	54	1
46	99	99	44	0
51	55	32	53	0
22	20	26	17	1
52	56	38	52	1
37	41	36	30	1
47	49	38	48	1
33	35	32	30	1
16	20	13	20	0
16	24	27	26	0
36	46	40	39	0
99	99	99	99	1
48	49	38	44	1
3	99	99	99	0
58	58	39	54	1
40	42	32	44	0
32	32	30	29	0
99	99	99	99	1
35	35	24	28	1
99	55	35	42	1
99	39	32	44	1
19	23	27	16	1
48	52	36	44	1
45	52	36	48	1
30	31	30	22	1
40	99	99	37	1
32	30	32	33	1
33	41	38	44	1
30	42	27	40	1
43	43	31	44	1
99	99	99	99	1
49	99	99	45	1
28	32	27	27	0
35	38	27	41	0
40	41	36	33	1
43	42	36	47	1
22	22	24	26	1
30	38	33	99	1
24	29	29	17	0
30	28	23	99	1
35	34	35	99	1
57	55	39	55	1
46	51	34	46	0
34	33	27	99	0
38	40	29	42	0
26	25	23	15	1
48	25	27	99	1
27	16	29	20	1
18	14	22	18	1
99	26	29	99	1
50	55	35	56	1
48	99	99	38	1
41	37	30	51	1
99	99	99	99	1
29	39	32	99	0
20	26	27	99	0
15	19	21	15	0
44	40	32	42	0
40	39	30	42	0
19	21	19	21	1
22	99	99	20	1
41	43	38	43	1
32	32	23	30	1
99	55	28	99	0
99	41	26	48	0
58	58	40	56	1
26	99	99	22	0
39	99	99	31	1
37	41	29	26	1
46	99	99	43	1
