id Exam_Score Aptitude_Measure Age_in_Years Intelligence_Score Attention_Span
1	51	23	17	100	21
2	53	22	20	101	20
3	50	23	18	98	20
4	63	24	18	103	21
5	65	22	17	96	21
6	53	23	18	99	20
7	52	22	19	101	21
8	50	22	24	101	21
9	57	22	20	97	21
10	54	23	18	103	20
11	65	24	15	102	23
12	50	21	16	98	21
13	52	21	19	100	22
14	63	23	18	101	19
15	52	20	17	96	21
16	52	23	19	98	20
17	51	23	20	96	21
18	52	21	17	102	20
19	55	23	18	97	18
20	55	25	19	104	20
21	53	21	19	99	21
22	54	20	18	100	20
23	152	23	20	97	20
24	50	23	17	96	18
25	63	24	18	97	20
26	57	24	18	96	22
27	52	23	19	100	21
28	62	24	17	96	21
29	52	21	18	98	18
30	55	24	19	96	20
31	54	22	17	99	18
32	56	21	18	100	19
33	52	24	18	100	20
34	53	22	18	99	20
35	64	24	17	99	18
36	57	22	19	98	20
37	50	23	19	104	16
38	51	23	18	101	20
39	53	23	17	96	18
40	69	44	18	96	20

